"AnalysisName"	"AnalysisPath"	"AnalyteId"	"AnalyteName"	"RegisterNumber"	"Elemental Composition"	"PMI"	"m/z"	"expected m/z"	"Error [ppm]"	"Error [Da]"	"Error [mDa]"	"Resolution m/z"	"Area"	"Height"	"mSigma"	"Score"	"IdendificationStatus"	"Retention Time[min]"	"Expected Retention Time[min]"	"Delta RT[min]"	"Status"	"Quantity"	"Adduct"	"SigmaScore"	"MassErrorScore"	"RetentionTimeScore"	"QualifierScore"	"CompoundId"	"SampleType"	"Marked"	"Internal Standard(ISTD)"	"Internal Standard Retention Time[min]"	"ISTD Area"	"ISTD Height"	"RRT"	"relative Area"	"relative Height"	"Signal/Noise"	"Compound Status"	"cdrChromatogramProperties"	"cdrSpectrumId"	"m/z calibration StdDev."	"Expected Quantity"	"Injection Volume"	"Manually Integrated"	"SigmaScoreString"	"MassErrorScoreString"	"RetentionTimeScoreString"	"DiagnosticIonScoreString"	"Expected Qualifier Ions"	"Found Qualifier Ions"	"Expected Optional Ions"	"Found Optional Ions"	"Expected Mandatory Diagnostic Ions"	"Found Mandatory Diagnostic Ions"	"Unit of Quantity"	"Quantity w/ unit"	"Expected quantity w/ unit"	"Quantity below lowest calibration level"	"Quantity above highest calibration level"	"Reporting Limit Exceeded"	"Quality of Quantity"	"R2"	"Accuracy/Recovery[%]"	"AnalysisId"	"UserFlag"	"Ion Ratio Q1"	"Ion Ratio Q2"	"Ion Ratio Q3"	"Ion Ratio Q4"	"Ion Ratio Q5"	"Full Width Half Maximum Chromatographic Peak [s]"	"Residuals[%]"	"Internal standard used for calibration function calculation"	"AccuracyDeviation"	"Min R2"	"RecoveryDeviation"	"ELV"	"RL"	"ULOQ"	"LLOQ"	"DL"	" Sample Identifier"	"Ion Ratio Q"	"Error m/z Q0"	"Error m/z Q1"	"Error m/z Q2"	"Error m/z Q3"	"Error m/z Q4"	"Error m/z Q5"	"Q0 Label"	"Q1 Label"	"Q2 Label"	"Q3 Label"	"Q4 Label"	"Q5 Label"	"Review State"	"Visited"	"%RSD RF"	"Carry Over Limit"	"False Negative"	"Response Range"	"Retention Time Drift"	"Signal In Blank"	"Intensity"	"1/K0 [V*s/cm2]"	"Expected 1/K0 [V*s/cm2]"	"Area to height ratio"	"(A/H)max / (A/H)min"	"Area of mobilogram peak"	"CCS [A2]"	"Expected CCS [A2]"	"Combined CCS Score"	"FWHM mobilogram peak"	"MRCSQ Score"	"Absolute deviation CCS [A2]"	"Relative deviation CCS [%]"	"Deviation 1/K0 [V*s/cm2]"	"Relative deviation 1/K0[%]"	"Calibration function term"	"Q0 Height"	"Q1 Height"	"Q2 Height"	"Q3 Height"	"Q4 Height"	"Q5 Height"	"Q0 Area"	"Q1 Area"	"Q2 Area"	"Q3 Area"	"Q4 Area"	"Q5 Area"	"Acquisition Date"	"Reprocessing Date"	"Analyte Tags"	"Acquisition Method"	"Reprocessing Method"	"instrumentName"	"instrumentSerialNumber"
"covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4"	"D:\Data\Bile acids_EVOQ\covid19 mauritius COVp261 raw data\covid19_mauritius_PLA_MS-BILE-EVOQ_COVp261_rerun_20230419_4-19-2023_11;29;19_(GMT+8;00)_batch\covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4.d"	"87417ca2-f07e-4895-849c-571f78576cb6"	"CA-d4 [IS]"	""	""	"(-) 411.5 > 411.6 [20.0V]"	"0.0000"	"0.0000"	"0.00"	"0.00000"	"0.00"	""	"244807"	"64227"	""	"++"	"2"	"6.77"	"6.76"	"0.01"	"VALID"	"0.9"	""	"255"	"255"	"2"	"255"	"9c26e660-7f80-46a1-a7af-8bd9af3cbae1"	"SAMPLE"	"no"	""	""	""	""	""	""	""	"1655"	"VALID"	""	""	""	"1.0"	"10.000"	"no"	"-"	"-"	"•••"	"-"	"0"	"0"	"1"	"1"	"1"	"1"	"units"	"0.9 units"	"1.0 units"	"RED"	""	""	"SINGLE_POINT"	"0.9900"	"93.58"	"535737b0-abbb-4426-8127-76805f7d1763"	""	"0.013"	""	""	""	""	"3.65"	"-6.42"	"0"	""	"RED"	""	""	""	""	""	""	"covid19_mauritius_P"	""	"0.000"	"0.000"	""	""	""	""	"(-) 411.5 > 411.6 [20.0V]"	"(-) 411.5 > 291.1 [40.0V]"	""	""	""	""	"NONE"	"no"	""	""	""	""	""	""	"64310"	""	""	"4"	"1"	""	""	""	"-"	""	"-|•••|-|-|-"	""	""	""	""	"261592x + 0.0"	"64227"	"835"	""	""	""	""	"244807"	"2941"	""	""	""	""	"Wed Apr 19 11:58:42 AWST 2023"	"2023-04-21 08:42:27.193"	""	"D:\Methods\EVOQ_BA_MethodSet_V1_1.m\EVOQ_BA_MS_V1_1.mth"	"EVOQ_BileAcids_20230802 (V45)"	"3944082.00102"	"394408200102"
"covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4"	"D:\Data\Bile acids_EVOQ\covid19 mauritius COVp261 raw data\covid19_mauritius_PLA_MS-BILE-EVOQ_COVp261_rerun_20230419_4-19-2023_11;29;19_(GMT+8;00)_batch\covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4.d"	"789ae8ee-20d5-4a61-8900-d4fd4fad73bb"	"CDCA-d4 [IS]"	""	""	"(-) 395.5 > 395.3 [20.0V]"	"0.0000"	"0.0000"	"0.00"	"0.00000"	"0.00"	""	"142728"	"38828"	""	"++"	"2"	"8.34"	"8.35"	"-0.01"	"VALID"	"0.8"	""	"255"	"255"	"2"	"255"	"f7669d12-ba39-4116-a910-12887cb8179d"	"SAMPLE"	"no"	""	""	""	""	""	""	""	"403.7"	"VALID"	""	""	""	"1.0"	"10.000"	"no"	"-"	"-"	"•••"	"-"	"0"	"0"	"1"	"0"	"1"	"1"	"units"	"0.8 units"	"1.0 units"	"RED"	""	""	"SINGLE_POINT"	"0.9950"	"84.07"	"535737b0-abbb-4426-8127-76805f7d1763"	""	""	""	""	""	""	"3.44"	"-15.93"	"0"	""	""	""	""	""	""	""	""	"covid19_mauritius_P"	""	"0.000"	""	""	""	""	""	"(-) 395.5 > 395.3 [20.0V]"	"(-) 395.5 > 348.9 [33.0V]"	""	""	""	""	"NONE"	"no"	""	""	""	"RED"	""	""	"39530"	""	""	"4"	"1"	""	""	""	"-"	""	"-|•••|-|-|-"	""	""	""	""	"169767x + 0.0"	"38828"	""	""	""	""	""	"142728"	""	""	""	""	""	"Wed Apr 19 11:58:42 AWST 2023"	"2023-04-21 08:42:27.193"	""	"D:\Methods\EVOQ_BA_MethodSet_V1_1.m\EVOQ_BA_MS_V1_1.mth"	"EVOQ_BileAcids_20230802 (V45)"	"3944082.00102"	"394408200102"
"covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4"	"D:\Data\Bile acids_EVOQ\covid19 mauritius COVp261 raw data\covid19_mauritius_PLA_MS-BILE-EVOQ_COVp261_rerun_20230419_4-19-2023_11;29;19_(GMT+8;00)_batch\covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4.d"	"8e0ab8b5-bd27-4a06-96c3-d67fe1d7d627"	"Chenodeoxycholic acid (CDCA)"	""	""	"(-) 391.3 > 331.1 [12.0V]"	"0.0000"	"0.0000"	"0.00"	"0.00000"	"0.00"	""	"258623"	"69794"	""	"++"	"2"	"8.36"	"8.35"	"0.01"	"VALID"	"52.1"	""	"255"	"255"	"2"	"255"	"ff7d0769-ef87-443f-ac3f-b1f32a56b959"	"SAMPLE"	"no"	"CDCA-d4"	"8.34"	"142728"	"39530"	"1.00"	"1.812"	"1.766"	"294.4"	"VALID"	""	""	""	""	"10.000"	"no"	"-"	"-"	"•••"	"-"	"0"	"0"	"0"	"0"	"1"	"1"	"units"	"52.1 units"	""	""	""	""	"IN_BATCH"	"0.9977"	""	"535737b0-abbb-4426-8127-76805f7d1763"	""	""	""	""	""	""	"3.52"	""	"1"	""	""	""	""	""	""	""	""	"covid19_mauritius_P"	""	"0.000"	""	""	""	""	""	"(-) 391.3 > 331.1 [12.0V]"	""	""	""	""	""	"NONE"	"no"	""	""	""	"RED"	""	""	"71742"	""	""	"4"	"1"	""	""	""	"-"	""	"-|•••|-|-|-"	""	""	""	""	"0.03506x - 0.01464"	"69794"	""	""	""	""	""	"258623"	""	""	""	""	""	"Wed Apr 19 11:58:42 AWST 2023"	"2023-04-21 08:42:27.193"	""	"D:\Methods\EVOQ_BA_MethodSet_V1_1.m\EVOQ_BA_MS_V1_1.mth"	"EVOQ_BileAcids_20230802 (V45)"	"3944082.00102"	"394408200102"
"covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4"	"D:\Data\Bile acids_EVOQ\covid19 mauritius COVp261 raw data\covid19_mauritius_PLA_MS-BILE-EVOQ_COVp261_rerun_20230419_4-19-2023_11;29;19_(GMT+8;00)_batch\covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4.d"	"2149ebce-df40-482a-a55a-d52f5152cbd6"	"Cholic acid (CA)"	""	""	"(-) 407.4 > 342.9 [34.0V]"	"0.0000"	"0.0000"	"0.00"	"0.00000"	"0.00"	""	"434840"	"115259"	""	"++"	"2"	"6.78"	"6.76"	"0.02"	"VALID"	"35.5"	""	"255"	"255"	"2"	"255"	"134b9433-bc18-40df-a919-9358482b4c90"	"SAMPLE"	"no"	"CA-d4"	"6.77"	"244807"	"64310"	"1.00"	"1.776"	"1.792"	"1078"	"VALID"	""	""	""	""	"10.000"	"no"	"-"	"-"	"•••"	"-"	"0"	"0"	"0"	"0"	"1"	"1"	"units"	"35.5 units"	""	""	""	""	"IN_BATCH"	"0.9968"	""	"535737b0-abbb-4426-8127-76805f7d1763"	""	""	""	""	""	""	"3.55"	""	"1"	""	""	""	""	""	""	""	""	"covid19_mauritius_P"	""	"0.000"	""	""	""	""	""	"(-) 407.4 > 342.9 [34.0V]"	""	""	""	""	""	"NONE"	"no"	""	""	""	""	""	""	"115647"	""	""	"4"	"1"	""	""	""	"-"	""	"-|•••|-|-|-"	""	""	""	""	"0.05005x + 6.575E-4"	"115259"	""	""	""	""	""	"434840"	""	""	""	""	""	"Wed Apr 19 11:58:42 AWST 2023"	"2023-04-21 08:42:27.193"	""	"D:\Methods\EVOQ_BA_MethodSet_V1_1.m\EVOQ_BA_MS_V1_1.mth"	"EVOQ_BileAcids_20230802 (V45)"	"3944082.00102"	"394408200102"
"covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4"	"D:\Data\Bile acids_EVOQ\covid19 mauritius COVp261 raw data\covid19_mauritius_PLA_MS-BILE-EVOQ_COVp261_rerun_20230419_4-19-2023_11;29;19_(GMT+8;00)_batch\covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4.d"	"59cd0899-9d0e-4f6c-aee3-df429455a822"	"DCA-d4 [IS]"	""	""	"(-) 395.6 > 349.3 [30.0V]"	"0.0000"	"0.0000"	"0.00"	"0.00000"	"0.00"	""	"27452"	"7392"	""	"---"	"0"	"8.62"	"8.79"	"-0.17"	"VALID"	"0.8"	""	"255"	"255"	"0"	"255"	"d20b2325-9040-4abb-a9bd-4d1b6d6970ec"	"SAMPLE"	"no"	""	""	""	""	""	""	""	"186293"	"VALID"	""	""	""	"1.0"	"10.000"	"no"	"-"	"-"	"•"	"-"	"0"	"0"	"0"	"0"	"1"	"1"	"units"	"0.8 units"	"1.0 units"	"RED"	""	""	"SINGLE_POINT"	"0.9801"	"75.29"	"535737b0-abbb-4426-8127-76805f7d1763"	""	""	""	""	""	""	"3.54"	"-24.71"	"0"	""	"RED"	""	""	""	""	""	""	"covid19_mauritius_P"	""	"0.000"	""	""	""	""	""	"(-) 395.6 > 349.3 [30.0V]"	""	""	""	""	""	"NONE"	"no"	""	""	""	"RED"	""	""	"7392"	""	""	"4"	"1"	""	""	""	"-"	""	"-|•|-|-|-"	""	""	""	""	"36463x + 0.0"	"7392"	""	""	""	""	""	"27452"	""	""	""	""	""	"Wed Apr 19 11:58:42 AWST 2023"	"2023-04-21 08:42:27.193"	""	"D:\Methods\EVOQ_BA_MethodSet_V1_1.m\EVOQ_BA_MS_V1_1.mth"	"EVOQ_BileAcids_20230802 (V45)"	"3944082.00102"	"394408200102"
"covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4"	"D:\Data\Bile acids_EVOQ\covid19 mauritius COVp261 raw data\covid19_mauritius_PLA_MS-BILE-EVOQ_COVp261_rerun_20230419_4-19-2023_11;29;19_(GMT+8;00)_batch\covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4.d"	"4ad4ebc7-48f2-48b5-91c9-4e2bab9b91b3"	"Deoxycholic acid (DCA)"	""	""	"(-) 391.3 > 331.1 [12.0V]"	"0.0000"	"0.0000"	"0.00"	"0.00000"	"0.00"	""	"808515"	"211590"	""	"++"	"2"	"8.63"	"8.63"	"-0.00"	"VALID"	"68.8"	""	"255"	"255"	"2"	"255"	"11b5e812-38f2-4695-8e7e-da6fd3676bac"	"SAMPLE"	"no"	"DCA-d4"	"8.62"	"27452"	"7392"	"1.00"	"29.452"	"28.624"	"1194"	"VALID"	""	""	""	""	"10.000"	"no"	"-"	"-"	"•••"	"-"	"0"	"0"	"0"	"0"	"1"	"1"	"units"	"68.8 units"	""	""	""	""	"IN_BATCH"	"0.9979"	""	"535737b0-abbb-4426-8127-76805f7d1763"	""	""	""	""	""	""	"3.57"	""	"1"	""	""	""	""	""	""	""	""	"covid19_mauritius_P"	""	"0.000"	""	""	""	""	""	"(-) 391.3 > 331.1 [12.0V]"	""	""	""	""	""	"NONE"	"no"	""	""	""	"RED"	""	""	"213984"	""	""	"4"	"1"	""	""	""	"-"	""	"-|•••|-|-|-"	""	""	""	""	"0.4317x - 0.2510"	"211590"	""	""	""	""	""	"808515"	""	""	""	""	""	"Wed Apr 19 11:58:42 AWST 2023"	"2023-04-21 08:42:27.193"	""	"D:\Methods\EVOQ_BA_MethodSet_V1_1.m\EVOQ_BA_MS_V1_1.mth"	"EVOQ_BileAcids_20230802 (V45)"	"3944082.00102"	"394408200102"
"covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4"	"D:\Data\Bile acids_EVOQ\covid19 mauritius COVp261 raw data\covid19_mauritius_PLA_MS-BILE-EVOQ_COVp261_rerun_20230419_4-19-2023_11;29;19_(GMT+8;00)_batch\covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4.d"	"70258f79-ed18-4420-80c9-3030c8f72fcd"	"GCA-d4 [IS]"	""	""	"(-) 468.5 > 74.1 [38.0V]"	"0.0000"	"0.0000"	"0.00"	"0.00000"	"0.00"	""	"63745"	"18119"	""	"---"	"0"	"5.85"	"5.88"	"-0.03"	"VALID"	"0.7"	""	"255"	"255"	"2"	"0"	"be3f1071-726d-4718-9cf0-97bf2a26514c"	"SAMPLE"	"no"	""	""	""	""	""	""	""	"3721"	"VALID"	""	""	""	"1.0"	"10.000"	"no"	"-"	"-"	"•••"	"•"	"1"	"1"	"0"	"0"	"2"	"2"	"units"	"0.7 units"	"1.0 units"	"RED"	""	""	"SINGLE_POINT"	"0.7907"	"72.49"	"535737b0-abbb-4426-8127-76805f7d1763"	""	"0.198"	""	""	""	""	"3.33"	"-27.51"	"0"	""	"RED"	""	""	""	""	""	""	"covid19_mauritius_P"	""	"0.000"	"0.000"	""	""	""	""	"(-) 468.5 > 74.1 [38.0V]"	"(-) 468.5 > 406.2 [36.0V]"	""	""	""	""	"NONE"	"no"	""	""	""	"RED"	""	""	"18120"	""	""	"4"	"1"	""	""	""	"-"	""	"-|•••|-|•|-"	""	""	""	""	"104885x + 0.0"	"18119"	"3582"	""	""	""	""	"63745"	"12284"	""	""	""	""	"Wed Apr 19 11:58:42 AWST 2023"	"2023-04-21 08:42:27.193"	""	"D:\Methods\EVOQ_BA_MethodSet_V1_1.m\EVOQ_BA_MS_V1_1.mth"	"EVOQ_BileAcids_20230802 (V45)"	"3944082.00102"	"394408200102"
"covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4"	"D:\Data\Bile acids_EVOQ\covid19 mauritius COVp261 raw data\covid19_mauritius_PLA_MS-BILE-EVOQ_COVp261_rerun_20230419_4-19-2023_11;29;19_(GMT+8;00)_batch\covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4.d"	"3d4f95e1-d81f-4084-b6ea-a9ede8ba7c99"	"GCDCA-d4 [IS]"	""	""	"(-) 502.6 > 80.1 [62.0V]"	"0.0000"	"0.0000"	"0.00"	"0.00000"	"0.00"	""	"62266"	"17566"	""	"---"	"0"	"7.17"	"7.20"	"-0.03"	"VALID"	"0.8"	""	"255"	"255"	"2"	"0"	"2e150f81-2572-42b9-b7b5-4ae7b1b0fcea"	"SAMPLE"	"no"	""	""	""	""	""	""	""	"5378"	"VALID"	""	""	""	"1.0"	"10.000"	"no"	"-"	"-"	"•••"	"•"	"1"	"1"	"0"	"0"	"2"	"2"	"units"	"0.8 units"	"1.0 units"	"RED"	""	""	"SINGLE_POINT"	"0.9322"	"78.12"	"535737b0-abbb-4426-8127-76805f7d1763"	""	"0.283"	""	""	""	""	"3.44"	"-21.88"	"0"	""	"RED"	""	""	""	""	""	""	"covid19_mauritius_P"	""	"0.000"	"0.000"	""	""	""	""	"(-) 502.6 > 80.1 [62.0V]"	"(-) 502.6 > 107.1 [55.0V]"	""	""	""	""	"NONE"	"no"	""	""	""	"RED"	""	""	"17569"	""	""	"4"	"1"	""	""	""	"-"	""	"-|•••|-|•|-"	""	""	""	""	"101632x + 0.0"	"17566"	"4969"	""	""	""	""	"62266"	"17132"	""	""	""	""	"Wed Apr 19 11:58:42 AWST 2023"	"2023-04-21 08:42:27.193"	""	"D:\Methods\EVOQ_BA_MethodSet_V1_1.m\EVOQ_BA_MS_V1_1.mth"	"EVOQ_BileAcids_20230802 (V45)"	"3944082.00102"	"394408200102"
"covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4"	"D:\Data\Bile acids_EVOQ\covid19 mauritius COVp261 raw data\covid19_mauritius_PLA_MS-BILE-EVOQ_COVp261_rerun_20230419_4-19-2023_11;29;19_(GMT+8;00)_batch\covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4.d"	"1fa7de5a-e01b-4601-9614-caecd1ca07c6"	"GDCA-d4 [IS]"	""	""	"(-) 452.5 > 74.1 [35.0V]"	"0.0000"	"0.0000"	"0.00"	"0.00000"	"0.00"	""	"128513"	"34867"	""	"---"	"0"	"7.40"	"7.44"	"-0.04"	"VALID"	"0.8"	""	"255"	"255"	"2"	"0"	"f216c0dd-5985-4fc6-aa2c-3bea1e13b34f"	"SAMPLE"	"no"	""	""	""	""	""	""	""	"2604"	"VALID"	""	""	""	"1.0"	"10.000"	"no"	"-"	"-"	"•••"	"•"	"2"	"1"	"0"	"0"	"3"	"2"	"units"	"0.8 units"	"1.0 units"	"RED"	""	""	"SINGLE_POINT"	"0.9755"	"76.58"	"535737b0-abbb-4426-8127-76805f7d1763"	""	""	"0.150"	""	""	""	"3.52"	"-23.42"	"0"	""	"RED"	""	""	""	""	""	""	"covid19_mauritius_P"	""	"0.000"	""	"0.000"	""	""	""	"(-) 452.5 > 74.1 [35.0V]"	"(-) 452.5 > 390.4 [35.0V]"	"(-) 452.5 > 408.3 [34.0V]"	""	""	""	"NONE"	"no"	""	""	""	"RED"	""	""	"34877"	""	""	"4"	"1"	""	""	""	"-"	""	"-|•••|-|•|-"	""	""	""	""	"190537x + 0.0"	"34867"	""	"5231"	""	""	""	"128513"	""	"17393"	""	""	""	"Wed Apr 19 11:58:42 AWST 2023"	"2023-04-21 08:42:27.193"	""	"D:\Methods\EVOQ_BA_MethodSet_V1_1.m\EVOQ_BA_MS_V1_1.mth"	"EVOQ_BileAcids_20230802 (V45)"	"3944082.00102"	"394408200102"
"covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4"	"D:\Data\Bile acids_EVOQ\covid19 mauritius COVp261 raw data\covid19_mauritius_PLA_MS-BILE-EVOQ_COVp261_rerun_20230419_4-19-2023_11;29;19_(GMT+8;00)_batch\covid19_mauritius_PLA_MS-BILE-EVOQ_COVr44_COVp261_BA Check solution_4.d"	"c6a0e3fc-f11a-486e-b4e1-bcce6ea5515d"	"GLCA-d4 [IS]"	""	""	"(-) 436.5 > 74.1 [34.0V]"	"0.0000"	"0.0000"	"0.00"	"0.00000"	"0.00"	""	"228479"	"64405"	""	"---"	"0"	"8.43"	"8.33"	"0.10"	"VALID"	"0.8"	""	"255"	"255"	"2"	"0"	"9314cee6-a249-43f1-9f90-462938079166"	"SAMPLE"	"no"	""	""	""	""	""	""	""	"14433"	"VALID"	""	""	""	"1.0"	"10.000"	"no"	"-"	"-"	"•••"	"•"	"1"	"1"	"0"	"0"	"2"	"2"	"units"	"0.8 units"	"1.0 units"	"RED"	""	""	"SINGLE_POINT"	"0.9843"	"78.36"	"535737b0-abbb-4426-8127-76805f7d1763"	""	"0.136"	""	""	""	""	"3.36"	"-21.64"	"0"	""	"RED"	""	""	""	""	""	""	"covid19_mauritius_P"	""	"0.000"	"0.000"	""	""	""	""	"(-) 436.5 > 74.1 [34.0V]"	"(-) 436.5 > 392.3 [33.0V]"	""	""	""	""	"NONE"	"no"	""	""	""	"RED"	""	""	"64407"	""	""	"4"	"1"	""	""	""	"-"	""	"-|•••|-|•|-"	""	""	""	""	"333672x + 0.0"	"64405"	"8788"	""	""	""	""	"228479"	"32981"	""	""	""	""	"Wed Apr 19 11:58:42 AWST 2023"	"2023-04-21 08:42:27.193"	""	"D:\Methods\EVOQ_BA_MethodSet_V1_1.m\EVOQ_BA_MS_V1_1.mth"	"EVOQ_BileAcids_20230802 (V45)"	"3944082.00102"	"394408200102"
