"AnalysisName"	"AnalysisPath"	"AnalyteId"	"AnalyteName"	"RegisterNumber"	"Elemental Composition"	"PMI"	"m/z"	"expected m/z"	"Error [ppm]"	"Error [Da]"	"Error [mDa]"	"Resolution m/z"	"Area"	"Height"	"mSigma"	"Score"	"IdendificationStatus"	"Retention Time[min]"	"Expected Retention Time[min]"	"Delta RT[min]"	"Status"	"Quantity"	"Adduct"	"SigmaScore"	"MassErrorScore"	"RetentionTimeScore"	"QualifierScore"	"CompoundId"	"SampleType"	"Marked"	"Internal Standard(ISTD)"	"Internal Standard Retention Time[min]"	"ISTD Area"	"ISTD Height"	"RRT"	"relative Area"	"relative Height"	"Signal/Noise"	"Compound Status"	"cdrChromatogramProperties"	"cdrSpectrumId"	"m/z calibration StdDev."	"Expected Quantity"	"Injection Volume"	"Manually Integrated;"	"SigmaScoreString"	"MassErrorScoreString"	"RetentionTimeScoreString"	"DiagnosticIonScoreString"	"Expected Qualifier Ions"	"Found Qualifier Ions"	"Expected Optional Ions"	"Found Optional Ions"	"Expected Mandatory Diagnostic Ions"	"Found Mandatory Diagnostic Ions"	"Unit of Quantity"	"Quantity w/ unit"	"Expected quantity w/ unit"	"Quantity below lowest calibration level"	"Quantity above highest calibration level"	"Reporting Limit Exceeded"	"Quality of Quantity"	"R2"	"Accuracy/Recovery[%]"	"AnalysisId"	"UserFlag"	"Ion Ratio Q1"	"Ion Ratio Q2"	"Ion Ratio Q3"	"Ion Ratio Q4"	"Ion Ratio Q5"	"Full Width Half Maximum Chromatographic Peak [s]"	"Residuals[%]"	"Internal standard used for calibration function calculation"	"AccuracyDeviation"	"Min R2"	"RecoveryDeviation"	"ELV"	"RL"	"ULOQ"	"LLOQ"	"DL"	" Sample Identifier"	"Ion Ratio Q"	"Error m/z Q0"	"Error m/z Q1"	"Error m/z Q2"	"Error m/z Q3"	"Error m/z Q4"	"Error m/z Q5"	"Q0 Label"	"Q1 Label"	"Q2 Label"	"Q3 Label"	"Q4 Label"	"Q5 Label"	"Review State"	"Visited"	"%RSD RF"	"Carry Over Limit"	"False Negative"	"Response Range"	"Retention Time Drift"	"Signal In Blank"	"Intensity"	"1/K0 [V*s/cm2]"	"Expected 1/K0 [V*s/cm2]"	"Area to height ratio indicates whether this is a real chromatographic peak."	"(A/H)max / (A/H)min"	"Area of mobilogram peak"	"CCS [A2]"	"Expected CCS [A2]"	"Combined CCS Score"	"FWHM mobilogram peak"	"MRCSQ Score"	"Absolute deviation CCS [A2]"	"Relative deviation CCS [%]"	"Deviation 1/K0 [V*s/cm2]"	"Relative deviation 1/K0[%]"	"instrumentName"	"instrumentSerialNumber"
"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	"\\134.115.48.45\PAI05\diabetes\Amino Acid\diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2.d"	"dc41a505-15ac-48d5-a247-52c24b330cff"	"1-methylhistidine"	""	""	"M+nH"	""	"340.1404"	""	""	""	""	""	""	""	""	"255"	""	"2.77"	""	"INITIALIZED"	"0"	""	"255"	"255"	"255"	"255"	""	"BLANK"	"no"	"Arginine-13C6,15N4"	""	""	""	""	""	""	""	"INITIALIZED"	""	""	""	""	"2.000"	"no"	"-"	"-"	"-"	"-"	"0"	"0"	"0"	"0"	"1"	"0"	""	""	""	""	""	""	""	""	""	"b0bbdfc3-090e-4a80-9605-3b1feba81daa"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	""	""	""	""	""	""	""	"M+nH"	""	""	""	""	""	"NONE"	"no"	""	""	""	""	""	""	""	""	""	"?"	"-1"	""	""	""	"-"	""	"-|-|-|-|-"	""	""	""	""	"impact II"	"1825265.10271"
"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	"\\134.115.48.45\PAI05\diabetes\Amino Acid\diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2.d"	"6b0189d2-2fb7-4ab1-b593-cb02860170d4"	"3-methylhistidine"	""	""	"M+nH"	""	"340.1404"	""	""	""	""	""	""	""	""	"255"	""	"2.68"	""	"INITIALIZED"	"0"	""	"255"	"255"	"255"	"255"	""	"BLANK"	"no"	"Histidine-13C6,15N3"	""	""	""	""	""	""	""	"INITIALIZED"	""	""	""	""	"2.000"	"no"	"-"	"-"	"-"	"-"	"0"	"0"	"0"	"0"	"1"	"0"	""	""	""	""	""	""	""	""	""	"b0bbdfc3-090e-4a80-9605-3b1feba81daa"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	""	""	""	""	""	""	""	"M+nH"	""	""	""	""	""	"NONE"	"no"	""	""	""	""	""	""	""	""	""	"?"	"-1"	""	""	""	"-"	""	"-|-|-|-|-"	""	""	""	""	"impact II"	"1825265.10271"
"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	"\\134.115.48.45\PAI05\diabetes\Amino Acid\diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2.d"	"673f763b-fcec-4f6b-972f-75afe9cdb84a"	"4--hydroxyproline"	""	""	"M+nH"	""	"302.1135"	""	""	""	""	""	""	""	""	"255"	""	"1.70"	""	"INITIALIZED"	"0"	""	"255"	"255"	"255"	"255"	""	"BLANK"	"no"	"Asparagine-13C4,15N2"	""	""	""	""	""	""	""	"INITIALIZED"	""	""	""	""	"2.000"	"no"	"-"	"-"	"-"	"-"	"0"	"0"	"1"	"0"	"1"	"0"	""	""	""	""	""	""	""	""	""	"b0bbdfc3-090e-4a80-9605-3b1feba81daa"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	""	""	""	""	""	""	""	"M+nH"	"171.055"	""	""	""	""	"NONE"	"no"	""	""	""	""	""	""	""	""	""	"?"	"-1"	""	""	""	"-"	""	"-|-|-|-|-"	""	""	""	""	"impact II"	"1825265.10271"
"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	"\\134.115.48.45\PAI05\diabetes\Amino Acid\diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2.d"	"4db89dd3-b326-46eb-af82-c7f5dc98d941"	"Alanine"	""	""	"M+nH"	""	"260.1030"	""	""	""	""	""	""	""	""	"255"	""	"2.60"	""	"INITIALIZED"	"0"	""	"255"	"255"	"255"	"255"	""	"BLANK"	"no"	"Alanine-13C3,15N"	""	""	""	""	""	""	""	"INITIALIZED"	""	""	""	""	"2.000"	"no"	"-"	"-"	"-"	"-"	"0"	"0"	"1"	"0"	"1"	"0"	""	""	""	""	""	""	""	""	""	"b0bbdfc3-090e-4a80-9605-3b1feba81daa"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	""	""	""	""	""	""	""	"M+nH"	"171.055"	""	""	""	""	"NONE"	"no"	""	""	""	""	""	""	""	""	""	"?"	"-1"	""	""	""	"-"	""	"-|-|-|-|-"	""	""	""	""	"impact II"	"1825265.10271"
"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	"\\134.115.48.45\PAI05\diabetes\Amino Acid\diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2.d"	"2ef28a61-03bf-4389-b435-6cd6292d7598"	"Alanine-13C3,15N [IS]"	""	""	"M+nH"	""	"264.1101"	""	""	""	""	""	""	""	""	"255"	""	"2.60"	""	"INITIALIZED"	"0"	""	"255"	"255"	"255"	"255"	""	"BLANK"	"no"	""	""	""	""	""	""	""	""	"INITIALIZED"	""	""	""	""	"2.000"	"no"	"-"	"-"	"-"	"-"	"0"	"0"	"1"	"0"	"1"	"0"	""	""	""	""	""	""	""	""	""	"b0bbdfc3-090e-4a80-9605-3b1feba81daa"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	""	""	""	""	""	""	""	"M+nH"	"171.055"	""	""	""	""	"NONE"	"no"	""	""	""	""	""	""	""	""	""	"?"	"-1"	""	""	""	"-"	""	"-|-|-|-|-"	""	""	""	""	"impact II"	"1825265.10271"
"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	"\\134.115.48.45\PAI05\diabetes\Amino Acid\diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2.d"	"c683bcdc-ddbd-4618-897c-0de1ce8c387a"	"Aminoadipic acid"	""	""	"M+nH"	""	"332.1241"	""	""	""	""	""	""	""	""	"255"	""	"1.38"	""	"INITIALIZED"	"0"	""	"255"	"255"	"255"	"255"	""	"BLANK"	"no"	"Serine-13C3,15N"	""	""	""	""	""	""	""	"INITIALIZED"	""	""	""	""	"2.000"	"no"	"-"	"-"	"-"	"-"	"0"	"0"	"1"	"0"	"1"	"0"	""	""	""	""	""	""	""	""	""	"b0bbdfc3-090e-4a80-9605-3b1feba81daa"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	""	""	""	""	""	""	""	"M+nH"	"171.055"	""	""	""	""	"NONE"	"no"	""	""	""	""	""	""	""	""	""	"?"	"-1"	""	""	""	"-"	""	"-|-|-|-|-"	""	""	""	""	"impact II"	"1825265.10271"
"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	"\\134.115.48.45\PAI05\diabetes\Amino Acid\diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2.d"	"82cee4e8-5ce1-4117-bea2-2af47ecf2260"	"Arginine"	""	""	"M+nH"	""	"345.1670"	""	""	""	""	""	""	""	""	"255"	""	"2.77"	""	"INITIALIZED"	"0"	""	"255"	"255"	"255"	"255"	""	"BLANK"	"no"	"Arginine-13C6,15N4"	""	""	""	""	""	""	""	"INITIALIZED"	""	""	""	""	"2.000"	"no"	"-"	"-"	"-"	"-"	"0"	"0"	"3"	"0"	"1"	"0"	""	""	""	""	""	""	""	""	""	"b0bbdfc3-090e-4a80-9605-3b1feba81daa"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	""	""	""	""	""	""	""	"M+nH"	"175.119"	"171.055"	"70.065"	""	""	"NONE"	"no"	""	""	""	""	""	""	""	""	""	"?"	"-1"	""	""	""	"-"	""	"-|-|-|-|-"	""	""	""	""	"impact II"	"1825265.10271"
"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	"\\134.115.48.45\PAI05\diabetes\Amino Acid\diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2.d"	"f19bf198-6671-4b28-88a3-97cf83377ea9"	"Arginine-13C6,15N4 [IS]"	""	""	"M+nH"	""	"355.1752"	""	""	""	""	""	""	""	""	"255"	""	"2.77"	""	"INITIALIZED"	"0"	""	"255"	"255"	"255"	"255"	""	"BLANK"	"no"	""	""	""	""	""	""	""	""	"INITIALIZED"	""	""	""	""	"2.000"	"no"	"-"	"-"	"-"	"-"	"0"	"0"	"1"	"0"	"1"	"0"	""	""	""	""	""	""	""	""	""	"b0bbdfc3-090e-4a80-9605-3b1feba81daa"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	""	""	""	""	""	""	""	"M+nH"	"171.055"	""	""	""	""	"NONE"	"no"	""	""	""	""	""	""	""	""	""	"?"	"-1"	""	""	""	"-"	""	"-|-|-|-|-"	""	""	""	""	"impact II"	"1825265.10271"
"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	"\\134.115.48.45\PAI05\diabetes\Amino Acid\diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2.d"	"592439f6-0540-4abb-b192-b217d581c13d"	"Asparagine"	""	""	"M+nH"	""	"303.1088"	""	""	""	""	""	""	""	""	"255"	""	"2.00"	""	"INITIALIZED"	"0"	""	"255"	"255"	"255"	"255"	""	"BLANK"	"no"	"Asparagine-13C4,15N2"	""	""	""	""	""	""	""	"INITIALIZED"	""	""	""	""	"2.000"	"no"	"-"	"-"	"-"	"-"	"0"	"0"	"1"	"0"	"1"	"0"	""	""	""	""	""	""	""	""	""	"b0bbdfc3-090e-4a80-9605-3b1feba81daa"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	""	""	""	""	""	""	""	"M+nH"	"171.055"	""	""	""	""	"NONE"	"no"	""	""	""	""	""	""	""	""	""	"?"	"-1"	""	""	""	"-"	""	"-|-|-|-|-"	""	""	""	""	"impact II"	"1825265.10271"
"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	"\\134.115.48.45\PAI05\diabetes\Amino Acid\diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2.d"	"c50a3953-4fd2-49fc-b619-0eced97e27f2"	"Asparagine-13C4,15N2 [IS]"	""	""	"M+nH"	""	"309.1163"	""	""	""	""	""	""	""	""	"255"	""	"2.00"	""	"INITIALIZED"	"0"	""	"255"	"255"	"255"	"255"	""	"BLANK"	"no"	""	""	""	""	""	""	""	""	"INITIALIZED"	""	""	""	""	"2.000"	"no"	"-"	"-"	"-"	"-"	"0"	"0"	"1"	"0"	"1"	"0"	""	""	""	""	""	""	""	""	""	"b0bbdfc3-090e-4a80-9605-3b1feba81daa"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"diabetes_fremantle_PLA_MS-AA_DWAr02_DWAp016_Double Blank_2"	""	""	""	""	""	""	""	"M+nH"	"171.055"	""	""	""	""	"NONE"	"no"	""	""	""	""	""	""	""	""	""	"?"	"-1"	""	""	""	"-"	""	"-|-|-|-|-"	""	""	""	""	"impact II"	"1825265.10271"
